,DIVULGAÇÃO,_0,_1,metodo_ingresso,area,_2,_3,VAGAS,_4,_5,_6,CURSO,CHAMADA,SEXO,MATRÍCULAS,MATRICULADOS,_7
Física - Licenciatura - noturno - Ilha Solteira,,30,11,convenio_se,Humanas,0,1,18,8,4,12,,,,,,
Física - Licenciatura - noturno - Presidente Prudente,,30,16,convenio_se,Humanas,0,1,13,14,3,17,,,,,,
Física Médica - integral - Botucatu,,40,12,convenio_se,Humanas,10,13,5,16,19,35,,,,,,
Geologia - integral - Rio Claro,,35,20,convenio_se,Humanas,6,8,1,22,12,34,,,,,,
Matemática - Bacharelado e Licenciatura - integral - Rio Claro,,40,16,convenio_se,Humanas,9,8,7,22,11,33,,,,,,
Matemática - Bacharelado e Licenciatura - integral - São José do Rio Preto,,55,25,convenio_se,Humanas,4,5,21,19,15,34,,,,,,
Matemática - Licenciatura - matutino - Presidente Prudente,,40,7,convenio_se,Humanas,0,0,33,5,2,7,,,,,,
Matemática - Licenciatura - noturno - Bauru,,40,24,convenio_se,Humanas,7,7,2,20,18,38,,,,,,
Matemática - Licenciatura - noturno - Guaratinguetá,,30,16,convenio_se,Humanas,2,4,8,9,13,22,,,,,,
Matemática - Licenciatura - noturno - Ilha Solteira,,30,8,convenio_se,Humanas,0,1,21,6,3,9,,,,,,
Matemática - Licenciatura - noturno - Presidente Prudente,,50,24,convenio_se,Humanas,0,0,26,16,8,24,,,,,,
Matemática - Licenciatura - noturno - São José do Rio Preto,,45,29,convenio_se,Humanas,5,3,8,17,20,37,,,,,,
Meteorologia - Bacharelado - integral - Bauru,,40,7,convenio_se,Humanas,0,3,30,6,4,10,,,,,,
Química - Bacharelado em Química Ambiental e Licenciatura em Química - integral,,,,convenio_se,Humanas,,,,,,,,,,,,
,,50,30,convenio_se,Humanas,10,5,5,18,27,45,,,,,,
- São José do Rio Preto,,,,convenio_se,Humanas,,,,,,,,,,,,
Química - Bacharelado em Química e em Química Tecnológica - integral - Araraquara,,50,11,convenio_se,Humanas,12,27,0,19,31,50,,,,,,
Química - Bacharelado em Química Tecnológica - vespertino-noturno - Bauru,,20,9,convenio_se,Humanas,6,5,0,9,11,20,,,,,,
Química - Licenciatura - noturno - Araraquara,,30,16,convenio_se,Humanas,4,10,0,13,17,30,,,,,,
Química - Licenciatura - noturno - Bauru,,20,9,convenio_se,Humanas,5,5,1,9,10,19,,,,,,
Química - Licenciatura - noturno - Presidente Prudente,,40,33,convenio_se,Humanas,1,0,6,21,13,34,,,,,,
Sistemas de Informação - Bacharelado - noturno - Bauru,,40,24,convenio_se,Humanas,5,10,1,30,9,39,,,,,,
TOTAL,,2505,1094,convenio_se,Humanas,361,639,411,1352,742,2094,,,,,,
,,,,convenio_se,Humanas,,,,,,| 51 |,,,,,,
,,RELAÇÃO,,isento_carente,Biológicas,,,,,,,,,,,,
,,,,isento_carente,Biológicas,TOTAL,,,,,,,,,,,
,,ADIC.,,isento_carente,Biológicas,,,,,,,,,,,,
L.E.,,,Masc.,isento_carente,Biológicas,,,,,,,,Conv.,Fem.,,,
0,,4,5,isento_carente,Biológicas,6,,30,,,,Ciência da Computação - Bacharelado - integral - Bauru,2,1,,,
2,,2,6,isento_carente,Biológicas,7,,35,,,,Ciência da Computação - Bacharelado - integral - São José do Rio Preto,3,1,,,
1,,1,4,isento_carente,Biológicas,6,,35,,,,Ciência da Computação - Bacharelado - vespertino/noturno - Presidente Prudente,4,2,,,
0,,1,2,isento_carente,Biológicas,2,,30,,,,Ciências da Computação - Bacharelado - integral - Rio Claro,1,0,,,
1,,1,1,isento_carente,Biológicas,4,,30,,,,Ciências da Computação - Bacharelado - noturno - Rio Claro,2,3,,,
1,,2,2,isento_carente,Biológicas,5,,40,,,,Engenharia Aeronáutica - integral - São João da Boa Vista,2,3,,,
0,,0,0,isento_carente,Biológicas,2,,35,,,,Engenharia Ambiental - integral - Presidente Prudente,2,2,,,
0,,0,1,isento_carente,Biológicas,1,,30,,,,Engenharia Ambiental - integral - Rio Claro,1,0,,,
0,,0,2,isento_carente,Biológicas,3,,40,,,,Engenharia Ambiental - integral - São José dos Campos,3,1,,,
1,,0,0,isento_carente,Biológicas,1,,40,,,,Engenharia Ambiental - integral - Sorocaba,0,1,,,
0,,1,0,isento_carente,Biológicas,4,,45,,,,Engenharia Biotecnológica - integral - Assis,3,4,,,
0,,0,0,isento_carente,Biológicas,1,,40,,,,Engenharia Cartográﬁ ca e de Agrimensura - integral - Presidente Prudente,1,1,,,
0,,5,6,isento_carente,Biológicas,7,,60,,,,Engenharia Civil - integral - Bauru,2,1,,,
1,,0,4,isento_carente,Biológicas,8,,40,,,,Engenharia Civil - integral - Guaratinguetá,7,4,,,
0,,1,3,isento_carente,Biológicas,4,,40,,,,Engenharia Civil - integral - Ilha Solteira,3,1,,,
0,,0,2,isento_carente,Biológicas,2,,40,,,,Engenharia Civil - integral (com ingresso no meio do ano) - Ilha Solteira,2,0,,,
0,,0,0,isento_carente,Biológicas,0,,30,,,,Engenharia de Alimentos - integral - São José do Rio Preto,0,0,,,
0,,0,1,isento_carente,Biológicas,6,,40,,,,Engenharia de Bioprocessos e Biotecnologia - integral - Araraquara,6,5,,,
0,,2,2,isento_carente,Biológicas,5,,50,,,,Engenharia de Bioprocessos e Biotecnologia - integral - Botucatu,3,3,,,
1,,0,1,isento_carente,Biológicas,7,,40,,,,Engenharia de Biossistemas - integral - Tupã,6,6,,,
0,,6,8,isento_carente,Biológicas,10,,40,,,,Engenharia de Controle e Automação - integral - Sorocaba,4,2,,,
0,,0,2,isento_carente,Biológicas,3,,40,,,,Engenharia de Energia - integral - Rosana,3,1,,,
0,,0,2,isento_carente,Biológicas,6,,40,,,,Engenharia de Materiais - integral - Guaratinguetá,6,4,,,
3,,0,0,isento_carente,Biológicas,5,,30,,,,Engenharia de Produção - integral - Guaratinguetá,2,5,,,
2,,1,2,isento_carente,Biológicas,5,,40,,,,Engenharia de Produção - vespertino/noturno - Bauru,2,3,,,
0,,1,3,isento_carente,Biológicas,4,,40,,,,Engenharia de Produção - vespertino/noturno - Itapeva,3,1,,,
0,,2,6,isento_carente,Biológicas,8,,60,,,,Engenharia Elétrica - integral - Bauru,6,2,,,
3,,2,6,isento_carente,Biológicas,9,,40,,,,Engenharia Elétrica - integral - Guaratinguetá,4,3,,,
0,,0,3,isento_carente,Biológicas,3,,40,,,,Engenharia Elétrica - integral - Ilha Solteira,3,0,,,
0,,4,7,isento_carente,Biológicas,8,,40,,,,Engenharia Elétrica - integral (com ingresso no meio do ano) - Ilha Solteira,4,1,,,
1,,0,1,isento_carente,Biológicas,2,,40,,,,Engenharia Eletrônica e de Telecomunicações - integral - São João da Boa Vista,1,1,,,
0,,0,0,isento_carente,Biológicas,2,,40,,,,Engenharia Industrial-Madeira - integral - Itapeva,2,2,,,
1,,6,10,isento_carente,Biológicas,11,,60,,,,Engenharia Mecânica - integral - Bauru,4,1,,,
1,,1,9,isento_carente,Biológicas,12,,60,,,,Engenharia Mecânica - integral - Guaratinguetá,10,3,,,
1,,0,3,isento_carente,Biológicas,5,,40,,,,Engenharia Mecânica - integral - Ilha Solteira,4,2,,,
0,,1,2,isento_carente,Biológicas,3,,40,,,,Engenharia Mecânica - integral (com ingresso no meio do ano) - Ilha Solteira,2,1,,,
0,,3,3,isento_carente,Biológicas,7,,30,,,,Engenharia Mecânica - noturno - Guaratinguetá,4,4,,,
1,,1,3,isento_carente,Biológicas,4,,40,,,,Engenharia Química - integral - Araraquara,2,1,,,
0,,0,0,isento_carente,Biológicas,1,,30,,,,Estatística - integral - Presidente Prudente,1,1,,,
0,,0,1,isento_carente,Biológicas,2,,40,,,,Física - Bacharelado e Licenciatura - integral - Rio Claro,2,1,,,
0,,3,4,isento_carente,Biológicas,6,,40,,,,Física - Bacharelado e Licenciatura - noturno - Guaratinguetá,3,2,,,
,,,,isento_carente,Biológicas,,,,,,,Física - Bacharelado em Física Biológica e Licenciatura em Física - integral - São José do Rio,,,,,
0,,1,3,isento_carente,Biológicas,4,,50,,,,,3,1,,,
,,,,isento_carente,Biológicas,,,,,,,Preto,,,,,
,,,,isento_carente,Biológicas,,,,,,,Física - Bacharelado em Física de Materiais - vespertino/noturno e Licenciatura em Física - noturno,,,,,
0,,0,1,isento_carente,Biológicas,5,,60,,,,,5,4,,,
,,,,isento_carente,Biológicas,,,,,,,- Bauru,,,,,
0,,0,1,isento_carente,Biológicas,1,,30,,,,Física - Licenciatura - noturno - Ilha Solteira,1,0,,,
0,,0,0,isento_carente,Biológicas,0,,30,,,,Física - Licenciatura - noturno - Presidente Prudente,0,0,,,
0,,0,0,isento_carente,Biológicas,1,,40,,,,Física Médica - integral - Botucatu,1,1,,,
1,,0,2,isento_carente,Biológicas,4,,35,,,,Geologia - integral - Rio Claro,3,2,,,
1,,0,3,isento_carente,Biológicas,4,,40,,,,Matemática - Bacharelado e Licenciatura - integral - Rio Claro,3,1,,,
0,,1,2,isento_carente,Biológicas,3,,55,,,,Matemática - Bacharelado e Licenciatura - integral - São José do Rio Preto,2,1,,,
0,,0,1,isento_carente,Biológicas,1,,40,,,,Matemática - Licenciatura - matutino - Presidente Prudente,1,0,,,
2,,3,6,isento_carente,Biológicas,11,,40,,,,Matemática - Licenciatura - noturno - Bauru,6,5,,,
1,,0,1,isento_carente,Biológicas,5,,30,,,,Matemática - Licenciatura - noturno - Guaratinguetá,4,4,,,
0,,0,0,isento_carente,Biológicas,0,,30,,,,Matemática - Licenciatura - noturno - Ilha Solteira,0,0,,,
0,,0,4,isento_carente,Biológicas,6,,50,,,,Matemática - Licenciatura - noturno - Presidente Prudente,6,2,,,
1,,2,2,isento_carente,Biológicas,9,,45,,,,Matemática - Licenciatura - noturno - São José do Rio Preto,6,7,,,
0,,0,0,isento_carente,Biológicas,0,,40,,,,Meteorologia - Bacharelado - integral - Bauru,0,0,,,
,,,,isento_carente,Biológicas,,,,,,,Química - Bacharelado em Química Ambiental e Licenciatura em Química - integral - São José,,,,,
0,,0,3,isento_carente,Biológicas,5,,50,,,,,5,2,,,
,,,,isento_carente,Biológicas,,,,,,,do Rio Preto,,,,,
2,,4,4,isento_carente,Biológicas,10,,50,,,,Química - Bacharelado em Química e em Química Tecnológica - integral - Araraquara,4,6,,,
0,,1,0,isento_carente,Biológicas,3,,20,,,,Química - Bacharelado em Química Tecnológica - vespertino-noturno - Bauru,2,3,,,
0,,0,1,isento_carente,Biológicas,2,,30,,,,Química - Licenciatura - noturno - Araraquara,2,1,,,
1,,0,1,isento_carente,Biológicas,1,,20,,,,Química - Licenciatura - noturno - Bauru,0,0,,,
0,,0,2,isento_carente,Biológicas,6,,40,,,,Química - Licenciatura - noturno - Presidente Prudente,6,4,,,
0,,1,8,isento_carente,Biológicas,9,,40,,,,Sistemas de Informação - Bacharelado - noturno - Bauru,8,1,,,
30,,64,162,isento_carente,Biológicas,287,,2505,,,,TOTAL,193,125,,,
,,,,isento_carente,Biológicas,,,,,,,| 52 |,,,,,
,,RELAÇÃO,,isento_carente,Exatas,,,,,,,,,,,,
,,,,isento_carente,Exatas,TOTAL,,,,,,,,,,,
,,ADIC.,,isento_carente,Exatas,,,,,,,,,,,,
L.E.,,,Fem.,isento_carente,Exatas,,,,,,,,Conv.,Masc.,,,
0,,0,0,isento_carente,Exatas,0,,30,,,,Ciência da Computação - Bacharelado - integral - Bauru,0,0,,,
1,,0,0,isento_carente,Exatas,1,,35,,,,Ciência da Computação - Bacharelado - integral - São José do Rio Preto,0,1,,,
0,,2,1,isento_carente,Exatas,3,,35,,,,Ciência da Computação - Bacharelado - vespertino/noturno - Presidente Prudente,1,2,,,
0,,2,0,isento_carente,Exatas,2,,30,,,,Ciências da Computação - Bacharelado - integral - Rio Claro,0,2,,,
0,,1,0,isento_carente,Exatas,1,,30,,,,Ciências da Computação - Bacharelado - noturno - Rio Claro,0,1,,,
1,,3,1,isento_carente,Exatas,5,,40,,,,Engenharia Aeronáutica - integral - São João da Boa Vista,1,4,,,
0,,2,2,isento_carente,Exatas,4,,35,,,,Engenharia Ambiental - integral - Presidente Prudente,2,2,,,
0,,0,2,isento_carente,Exatas,2,,30,,,,Engenharia Ambiental - integral - Rio Claro,2,0,,,
0,,3,5,isento_carente,Exatas,6,,40,,,,Engenharia Ambiental - integral - São José dos Campos,3,1,,,
0,,0,2,isento_carente,Exatas,2,,40,,,,Engenharia Ambiental - integral - Sorocaba,2,0,,,
0,,0,0,isento_carente,Exatas,2,,45,,,,Engenharia Biotecnológica - integral - Assis,2,2,,,
0,,1,0,isento_carente,Exatas,3,,40,,,,Engenharia Cartográﬁ ca e de Agrimensura - integral - Presidente Prudente,2,3,,,
2,,2,4,isento_carente,Exatas,8,,60,,,,Engenharia Civil - integral - Bauru,4,4,,,
0,,1,3,isento_carente,Exatas,4,,40,,,,Engenharia Civil - integral - Guaratinguetá,3,1,,,
1,,1,4,isento_carente,Exatas,9,,40,,,,Engenharia Civil - integral - Ilha Solteira,7,5,,,
0,,1,2,isento_carente,Exatas,7,,40,,,,Engenharia Civil - integral (com ingresso no meio do ano) - Ilha Solteira,6,5,,,
1,,0,1,isento_carente,Exatas,1,,30,,,,Engenharia de Alimentos - integral - São José do Rio Preto,0,0,,,
1,,1,4,isento_carente,Exatas,5,,40,,,,Engenharia de Bioprocessos e Biotecnologia - integral - Araraquara,3,1,,,
0,,0,0,isento_carente,Exatas,1,,50,,,,Engenharia de Bioprocessos e Biotecnologia - integral - Botucatu,1,1,,,
0,,0,2,isento_carente,Exatas,4,,40,,,,Engenharia de Biossistemas - integral - Tupã,4,2,,,
0,,0,0,isento_carente,Exatas,1,,40,,,,Engenharia de Controle e Automação - integral - Sorocaba,1,1,,,
0,,0,0,isento_carente,Exatas,2,,40,,,,Engenharia de Energia - integral - Rosana,2,2,,,
1,,0,0,isento_carente,Exatas,1,,40,,,,Engenharia de Materiais - integral - Guaratinguetá,0,1,,,
0,,0,0,isento_carente,Exatas,0,,30,,,,Engenharia de Produção - integral - Guaratinguetá,0,0,,,
2,,1,2,isento_carente,Exatas,4,,40,,,,Engenharia de Produção - vespertino/noturno - Bauru,1,2,,,
1,,0,3,isento_carente,Exatas,4,,40,,,,Engenharia de Produção - vespertino/noturno - Itapeva,3,1,,,
4,,1,0,isento_carente,Exatas,7,,60,,,,Engenharia Elétrica - integral - Bauru,2,7,,,
1,,0,0,isento_carente,Exatas,2,,40,,,,Engenharia Elétrica - integral - Guaratinguetá,1,2,,,
1,,0,0,isento_carente,Exatas,4,,40,,,,Engenharia Elétrica - integral - Ilha Solteira,3,4,,,
0,,0,1,isento_carente,Exatas,4,,40,,,,Engenharia Elétrica - integral (com ingresso no meio do ano) - Ilha Solteira,4,3,,,
0,,0,0,isento_carente,Exatas,1,,40,,,,Engenharia Eletrônica e de Telecomunicações - integral - São João da Boa Vista,1,1,,,
0,,1,1,isento_carente,Exatas,2,,40,,,,Engenharia Industrial-Madeira - integral - Itapeva,1,1,,,
1,,4,0,isento_carente,Exatas,7,,60,,,,Engenharia Mecânica - integral - Bauru,2,7,,,
0,,0,0,isento_carente,Exatas,0,,60,,,,Engenharia Mecânica - integral - Guaratinguetá,0,0,,,
0,,2,2,isento_carente,Exatas,6,,40,,,,Engenharia Mecânica - integral - Ilha Solteira,4,4,,,
0,,0,4,isento_carente,Exatas,4,,40,,,,Engenharia Mecânica - integral (com ingresso no meio do ano) - Ilha Solteira,4,0,,,
1,,1,2,isento_carente,Exatas,3,,30,,,,Engenharia Mecânica - noturno - Guaratinguetá,1,1,,,
1,,5,2,isento_carente,Exatas,7,,40,,,,Engenharia Química - integral - Araraquara,1,5,,,
0,,2,1,isento_carente,Exatas,4,,30,,,,Estatística - integral - Presidente Prudente,2,3,,,
0,,0,1,isento_carente,Exatas,3,,40,,,,Física - Bacharelado e Licenciatura - integral - Rio Claro,3,2,,,
0,,0,0,isento_carente,Exatas,2,,40,,,,Física - Bacharelado e Licenciatura - noturno - Guaratinguetá,2,2,,,
0,,0,0,isento_carente,Exatas,1,,50,,,,Física - Bacharelado em Física Biológica e Licenciatura em Física - integral - São José do Rio Preto,1,1,,,
,,,,isento_carente,Exatas,,,,,,,Física - Bacharelado em Física de Materiais - vespertino/noturno e Licenciatura em Física -,,,,,
0,,1,5,isento_carente,Exatas,10,,60,,,,,9,5,,,
,,,,isento_carente,Exatas,,,,,,,noturno - Bauru,,,,,
0,,0,0,isento_carente,Exatas,1,,30,,,,Física - Licenciatura - noturno - Ilha Solteira,1,1,,,
0,,0,1,isento_carente,Exatas,3,,30,,,,Física - Licenciatura - noturno - Presidente Prudente,3,2,,,
1,,0,4,isento_carente,Exatas,4,,40,,,,Física Médica - integral - Botucatu,3,0,,,
0,,0,1,isento_carente,Exatas,1,,35,,,,Geologia - integral - Rio Claro,1,0,,,
0,,0,0,isento_carente,Exatas,0,,40,,,,Matemática - Bacharelado e Licenciatura - integral - Rio Claro,0,0,,,
0,,2,3,isento_carente,Exatas,4,,55,,,,Matemática - Bacharelado e Licenciatura - integral - São José do Rio Preto,2,1,,,
0,,0,1,isento_carente,Exatas,1,,40,,,,Matemática - Licenciatura - matutino - Presidente Prudente,1,0,,,
1,,0,2,isento_carente,Exatas,5,,40,,,,Matemática - Licenciatura - noturno - Bauru,4,3,,,
0,,2,5,isento_carente,Exatas,5,,30,,,,Matemática - Licenciatura - noturno - Guaratinguetá,3,0,,,
0,,0,1,isento_carente,Exatas,3,,30,,,,Matemática - Licenciatura - noturno - Ilha Solteira,3,2,,,
0,,0,2,isento_carente,Exatas,4,,50,,,,Matemática - Licenciatura - noturno - Presidente Prudente,4,2,,,
0,,0,2,isento_carente,Exatas,4,,45,,,,Matemática - Licenciatura - noturno - São José do Rio Preto,4,2,,,
0,,1,2,isento_carente,Exatas,2,,40,,,,Meteorologia - Bacharelado - integral - Bauru,1,0,,,
,,,,isento_carente,Exatas,,,,,,,Química - Bacharelado em Química Ambiental e Licenciatura em Química - integral - São José,,,,,
0,,0,6,isento_carente,Exatas,8,,50,,,,,8,2,,,
,,,,isento_carente,Exatas,,,,,,,do Rio Preto,,,,,
0,,5,6,isento_carente,Exatas,7,,50,,,,Química - Bacharelado em Química e em Química Tecnológica - integral - Araraquara,2,1,,,
2,,0,2,isento_carente,Exatas,2,,20,,,,Química - Bacharelado em Química Tecnológica - vespertino-noturno - Bauru,0,0,,,
1,,1,3,isento_carente,Exatas,6,,30,,,,Química - Licenciatura - noturno - Araraquara,4,3,,,
1,,2,2,isento_carente,Exatas,4,,20,,,,Química - Licenciatura - noturno - Bauru,1,2,,,
0,,0,0,isento_carente,Exatas,4,,40,,,,Química - Licenciatura - noturno - Presidente Prudente,4,4,,,
1,,0,1,isento_carente,Exatas,3,,40,,,,Sistemas de Informação - Bacharelado - noturno - Bauru,2,2,,,
27,,51,101,isento_carente,Exatas,220,,2505,,,,TOTAL,142,119,,,
,,,,isento_carente,Exatas,,,,,,,* Incluídos os cursinhos comunitários apoiados pela Unesp.,,,,,
,,,,isento_carente,Exatas,| 53 |,,,,,,,,,,,
CURSO,,VAGAS,,isento_carente,Humanas,CHAMADA,,,,SEXO,,,,,,,
,,,,isento_carente,Humanas,,RELAÇÃO,REM.,,,,,,,,,
,,,,isento_carente,Humanas,,,,,,,,,,,,TOTAL
,,,,isento_carente,Humanas,,ADIC.,,,,,,,,,,
,,,Conv.,isento_carente,Humanas,L.E.,,,Masc.,,Fem.,,,,,,
Administração - Bacharelado - integral - Tupã,,40,11,isento_carente,Humanas,9,13,7,24,,9,,,,,,33
Administração - Bacharelado - noturno - Jaboticabal,,40,11,isento_carente,Humanas,12,15,2,19,,19,,,,,,38
Administração - Bacharelado - noturno - Tupã,,40,27,isento_carente,Humanas,10,3,0,22,,18,,,,,,40
Administração Pública - Bacharelado - integral - Araraquara,,50,27,isento_carente,Humanas,10,7,6,27,,17,,,,,,44
Administração Pública - Bacharelado - noturno - Araraquara,,50,37,isento_carente,Humanas,9,4,0,22,,28,,,,,,50
Arquitetura e Urbanismo - integral - Bauru,,45,29,isento_carente,Humanas,5,10,1,12,,32,,,,,,44
Arquitetura e Urbanismo - integral - Presidente Prudente,,40,30,isento_carente,Humanas,3,5,2,13,,25,,,,,,38
Arquivologia - matutino - Marília,,30,4,isento_carente,Humanas,0,0,26,2,,2,,,,,,4
Artes Cênicas - Bacharelado - Habilitação em Interpretação Teatral -,,,,isento_carente,Humanas,,,,,,,,,,,,
,,30,21,isento_carente,Humanas,5,4,0,13,,17,,,,,,30
integral - São Paulo,,,,isento_carente,Humanas,,,,,,,,,,,,
Artes Visuais - Bacharelado e Licenciatura - integral - São Paulo,,40,28,isento_carente,Humanas,4,8,0,14,,26,,,,,,40
Artes Visuais - Bacharelado e Licenciatura - vespertino/noturno - Bauru,,40,31,isento_carente,Humanas,4,4,1,7,,32,,,,,,39
Arte-Teatro - Licenciatura - noturno - São Paulo,,30,26,isento_carente,Humanas,3,0,1,11,,18,,,,,,29
Biblioteconomia - matutino - Marília,,35,10,isento_carente,Humanas,2,0,23,4,,8,,,,,,12
Ciências Econômicas - Bacharelado - integral - Araraquara,,50,6,isento_carente,Humanas,12,31,1,33,,16,,,,,,49
Ciências Econômicas - Bacharelado - noturno - Araraquara,,50,18,isento_carente,Humanas,7,23,2,36,,12,,,,,,48
Ciências Sociais - Bacharelado e Licenciatura - matutino - Araraquara,,50,19,isento_carente,Humanas,18,13,0,23,,27,,,,,,50
Ciências Sociais - Bacharelado e Licenciatura - matutino - Marília,,50,29,isento_carente,Humanas,0,13,8,18,,24,,,,,,42
Ciências Sociais - Bacharelado e Licenciatura - noturno - Araraquara,,50,34,isento_carente,Humanas,10,7,-1,27,,24,,,,,,51
Ciências Sociais - Bacharelado e Licenciatura - noturno - Marília,,50,35,isento_carente,Humanas,4,8,3,19,,28,,,,,,47
"Comunicação: Rádio, Televisão e Internet - integral - Bauru",,30,14,isento_carente,Humanas,5,11,0,17,,13,,,,,,30
Design (Design Gráﬁ co ou Design de Produto) - noturno - Bauru,,60,49,isento_carente,Humanas,8,3,0,22,,38,,,,,,60
Design (Design Gráﬁ co) - integral - Bauru,,30,23,isento_carente,Humanas,3,4,0,4,,26,,,,,,30
Direito - matutino - Franca,,60,11,isento_carente,Humanas,12,34,3,29,,28,,,,,,57
Direito - noturno - Franca,,60,27,isento_carente,Humanas,11,20,2,26,,32,,,,,,58
Filosoﬁ a - Bacharelado e Licenciatura - noturno - Marília,,35,19,isento_carente,Humanas,4,8,4,20,,11,,,,,,31
Geograﬁ a - Bacharelado e Licenciatura - integral - Rio Claro,,40,19,isento_carente,Humanas,13,7,1,25,,14,,,,,,39
Geograﬁ a - Bacharelado e Licenciatura - matutino - Ourinhos,,40,7,isento_carente,Humanas,0,1,32,5,,3,,,,,,8
Geograﬁ a - Bacharelado e Licenciatura - matutino - Presidente Prudente,,40,18,isento_carente,Humanas,0,7,15,14,,11,,,,,,25
Geograﬁ a - Bacharelado e Licenciatura - noturno - Ourinhos,,40,13,isento_carente,Humanas,0,0,27,8,,5,,,,,,13
Geograﬁ a - Bacharelado e Licenciatura - noturno - Presidente Prudente,,45,30,isento_carente,Humanas,0,6,9,20,,16,,,,,,36
Geograﬁ a - Licenciatura - noturno - Rio Claro,,40,18,isento_carente,Humanas,0,3,19,7,,14,,,,,,21
História - Bacharelado e Licenciatura - matutino - Franca,,50,16,isento_carente,Humanas,9,22,3,20,,27,,,,,,47
História - Bacharelado e Licenciatura - noturno - Franca,,50,25,isento_carente,Humanas,10,13,2,29,,19,,,,,,48
História - Licenciatura - matutino - Assis,,45,34,isento_carente,Humanas,7,3,1,21,,23,,,,,,44
História - Licenciatura - noturno - Assis,,45,32,isento_carente,Humanas,8,4,1,20,,24,,,,,,44
Jornalismo - matutino - Bauru,,40,18,isento_carente,Humanas,9,12,1,13,,26,,,,,,39
Jornalismo - noturno - Bauru,,50,33,isento_carente,Humanas,9,7,1,24,,25,,,,,,49
Letras - Bacharelado e Licenciatura - matutino - Araraquara,,60,24,isento_carente,Humanas,17,19,0,16,,44,,,,,,60
Letras - Bacharelado e Licenciatura - noturno - Araraquara,,60,40,isento_carente,Humanas,11,9,0,25,,35,,,,,,60
Letras - Licenciatura - integral - São José do Rio Preto,,34,22,isento_carente,Humanas,6,8,-2,13,,23,,,,,,36
Letras - Licenciatura - matutino - Assis,,70,26,isento_carente,Humanas,0,25,19,9,,42,,,,,,51
Letras - Licenciatura - noturno - Assis,,70,49,isento_carente,Humanas,0,13,8,19,,43,,,,,,62
Letras - Licenciatura - noturno - São José do Rio Preto,,39,25,isento_carente,Humanas,5,8,1,16,,22,,,,,,38
Letras-Tradução - Bacharelado - integral - São José do Rio Preto,,32,24,isento_carente,Humanas,4,5,-1,8,,25,,,,,,33
